Gene,median,biorep,counts,condition,time,treatment
Y2,17484.2712802265,Bio1,15983.8672195893,2h_xd,2h,xd
Y2,17484.2712802265,Bio1,17242.0093241245,2h_Dd,2h,Dd
Y2,17484.2712802265,Bio1,15346.9796312567,6h_xx,6h,xx
Y2,17484.2712802265,Bio1,34097.8973903304,6h_Dx,6h,Dx
Y2,17484.2712802265,Bio1,11997.8901970428,6h_xd,6h,xd
Y2,17484.2712802265,Bio1,21952.1332926559,6h_Dd,6h,Dd
Y2,17484.2712802265,Bio2,17874.9782028931,2h_xx,2h,xx
Y2,17484.2712802265,Bio2,18904.5865329171,2h_Dx,2h,Dx
Y2,17484.2712802265,Bio2,17744.1049094189,2h_xd,2h,xd
Y2,17484.2712802265,Bio2,17184.0111712447,2h_Dd,2h,Dd
Y2,17484.2712802265,Bio2,17156.3126080816,6h_xx,6h,xx
Y2,17484.2712802265,Bio2,35552.1433874009,6h_Dx,6h,Dx
Y2,17484.2712802265,Bio2,11700.4251096431,6h_xd,6h,xd
Y2,17484.2712802265,Bio2,22315.6407453546,6h_Dd,6h,Dd
Y2,17484.2712802265,Bio3,17886.9265105542,2h_xx,2h,xx
Y2,17484.2712802265,Bio3,16645.1567212451,2h_Dx,2h,Dx
Y2,17484.2712802265,Bio3,15084.1823127991,2h_xd,2h,xd
Y2,17484.2712802265,Bio3,15585.4291514091,2h_Dd,2h,Dd
Y2,17484.2712802265,Bio3,15114.0884329095,6h_xx,6h,xx
Y2,17484.2712802265,Bio3,32768.9850061854,6h_Dx,6h,Dx
Y2,17484.2712802265,Bio3,12051.7111478655,6h_xd,6h,xd
Y2,17484.2712802265,Bio3,21891.1574209659,6h_Dd,6h,Dd
Y2,17484.2712802265,Bio1,12606.101587381,12h_xx,12h,xx
Y2,17484.2712802265,Bio1,64083.1828485522,12h_Dx,12h,Dx
Y2,17484.2712802265,Bio1,8096.72730113338,12h_xd,12h,xd
Y2,17484.2712802265,Bio1,35280.8090830082,12h_Dd,12h,Dd
Y2,17484.2712802265,Bio1,11217.0040041132,24h_xx,24h,xx
Y2,17484.2712802265,Bio1,87256.208924128,24h_Dx,24h,Dx
Y2,17484.2712802265,Bio1,6488.68764013757,24h_xd,24h,xd
Y2,17484.2712802265,Bio1,50318.6347596904,24h_Dd,24h,Dd
Y2,17484.2712802265,Bio2,12421.8139444419,12h_xx,12h,xx
Y2,17484.2712802265,Bio2,61075.2165706884,12h_Dx,12h,Dx
Y2,17484.2712802265,Bio2,8254.37752780897,12h_xd,12h,xd
Y2,17484.2712802265,Bio2,34754.8783739967,12h_Dd,12h,Dd
Y2,17484.2712802265,Bio2,11689.3206436479,24h_xx,24h,xx
Y2,17484.2712802265,Bio2,84576.7071039117,24h_Dx,24h,Dx
